FILMNAME;YEAR;NUMBEROFOSCARS
Never look away;118;
Mirai;118;
Ralph breaks the internet;118;
Missing picture;113;
Invisible woman;113;
Omar;113;
Bullhead;111;
Chico & Rita;111;
Footnote;111;
Muppets;111;1
Real Steel;111;
Tempest;110;
Hereafter;110;
Way back;110;
Barney's version;110;
Wolfman;110;1
Salt;110;
Country strong;110;
Incendies;110;
Hors la loi (Outside the law);110;
Il Divo;109;
Imaginarium of Doctor Parnassus;109;
Milk of sorrow;109;
Ajami;109;
Okuribito;108;1
Revanche;108;
Vals im Bashir;108;
Savages;107;
Don't tell;105;
New world;105;
Grandfather;98;
Oscar and Lucinda;97;
Dust of life (Poussières de vie);95;
Hedd Wyn;93;
Place in the world (Lugar en el mundo);92;
Children of nature (Börn náttúrunnar);91;
Ox (Oxen);91;
Metropolitan;90;
Open doors (Porte aperte);90;
Camille Claudel;89;
Crimes and misdemeanors;89;
What happened to Santiago;89;
Bird;88;
Handful of dust;88;
Hanussen;88;
Little Dorrit;88;
Mississippi burning;88;1
Pelle the conqueror;88;1
Salon Bombay;88;
Sunset;88;
Unbearable lightness of being;88;
Women on the verge of a nervous breakdown  ;88;
Anna;87;
Babette's feast;87;1
Course completed;87;
Dark eyes;87;
Dead;87;
Family;87;
Gaby- a true story;87;
Happy New Year;87;
Ironweed;87;
Street smart;87;
38;86;
Assault;86;1
Decline of the American empire;86;
My sweet little village;86;
Pirates;86;
That's life;86;
Angry harvest;85;
Chorus line;85;
Colonel Redl;85;
Jagged edge;85;
Official story;85;1
Ran;85;1
Return to Oz;85;
Sweet dreams;85;
Trip to bountiful;85;1
When father was away on business;85;
Beyond the walls;84;
Bostonians;84;
Broadway Danny Rose;84;
Camila;84;
Country;84;
Dangerous moves;84;1
Double feature;84;
Norte,El;84;
Passage to India;84;2
Pope of Greenwich village;84;
Soldier's story;84;
Songwriter;84;
Wartime romance;84;
Bal,Le;83;
Betrayal;83;
Cross Creek;83;
Entre nous;83;
Heart like a wheel;83;
Job's revolt;83;
Return of Martin Guerre;83;
Rueben Rueben;83;
Zelig;83;
Tender mercies;83;2
Testament;83;
Under fire;83;
Alsino and the condor;82;
Annie;82;
Coup de trouchon;82;
Flight of the eagle;82;
One from the heart;82;
Private life;82;
Quest for fire;82;1
Traviata, La;82;
Volver a Empezar;82;1
Yes Giorgio;82;
American werewolf in London;81;1
Atlantic city;81;
Boat is full;81;
